연도,학생수,보습학원수,보습학원당 학생수
,,,
2  0  1  8," 117,167 ", 297 ,394.5016835
2  0  1  9," 108,395 ", 307 ,353.0781759
2  0  2  0," 121,668 ", 312 ,389.9615385
2  0  2  1," 108,101 ", 332 ,325.6054217
2  0  2  2," 105,164 ", 352 ,298.7613636
2  0  2  3," 89,918 ", 380 ,236.6263158
